Gateway,Address,Type,RSSI (dBm),Distance (m),Sequence No.,Battery (mV),Temperature (degC),Humidity (%%RH),Light (lx),UV Index,Pressure (hPa),Noise (dB),Discomfort Index,Heat Stroke Risk,Accel.X (mg),Accel.Y (mg),Accel.X (mg),eTVOC (ppb),eCO2 (ppm),SI (kine),PGA (gal),Seismic Intensity,Vibration Info
Gateway,Address,Type,RSSI (dBm),Distance (m),Sequence No.,Battery (mV),Temperature (degC),Humidity (%%RH),Light (lx),UV Index,Pressure (hPa),Noise (dB),Discomfort Index,Heat Stroke Risk,Accel.X (mg),Accel.Y (mg),Accel.X (mg),eTVOC (ppb),eCO2 (ppm),SI (kine),PGA (gal),Seismic Intensity,Vibration Info
raspberrypi,C8CD922A6F9B,Rbt 0x01,-33,0.00957845417604,114,0.0,25.75,73.68,17,0.0,1004.855,63.09,0.0,0.0,0.0,0.0,0.0,22,545,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-33,0.00957845417604,114,0.0,28.69,53.61,98,0.0,1005.117,70.05,77.09957191,25.0621104053,0.0,0.0,0.0,291,1651,0.0,0.0,0.0,0
raspberrypi,D724662A6C3F,EP,-23,0.000533342994537,252,2910.0,25.11,69.39,162,0.02,992.4,57.66,73.96,23.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
raspberrypi,C8CD922A6F9B,Rbt 0x01,-31,0.00580868007585,176,0.0,25.68,74.4,17,0.0,1004.876,62.78,0.0,0.0,0.0,0.0,0.0,30,602,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-50,0.266038163731,176,0.0,28.73,54.24,95,0.0,1005.133,62.98,77.24230048,25.1887435893,0.0,0.0,0.0,287,1647,0.0,0.0,0.0,0
raspberrypi,C8CD922A6F9B,Rbt 0x01,-31,0.00580868007585,238,0.0,25.82,73.67,17,0.0,1004.849,68.72,0.0,0.0,0.0,0.0,0.0,24,560,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-50,0.266038163731,44,0.0,28.97,52.78,100,0.0,1005.134,78.87,77.35562234,25.2070657078,0.0,0.0,0.0,280,1638,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-50,0.266038163731,106,0.0,28.98,52.87,100,0.0,1005.101,71.53,77.38189874,25.229280962,0.0,0.0,0.0,280,1638,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-49,0.226335432297,169,0.0,29.04,52.64,98,0.0,1005.04,61.53,77.42866944,25.2529240373,0.0,0.0,0.0,295,1656,0.0,0.0,0.0,0
raspberrypi,C8CD922A6F9B,Rbt 0x01,-28,0.00257304959721,231,0.0,26.36,71.78,17,0.0,1004.824,63.32,0.0,0.0,0.0,0.0,0.0,18,520,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-49,0.226335432297,231,0.0,29.17,52.33,100,0.0,1005.072,68.51,77.55652439,25.3310125516,0.0,0.0,0.0,288,1648,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-49,0.226335432297,37,0.0,29.23,52.34,95,0.0,1005.041,61.94,77.63767218,25.3890159299,0.0,0.0,0.0,266,1624,0.0,0.0,0.0,0
raspberrypi,D724662A6C3F,EP,-36,0.0192133862262,254,2910.0,25.1,69.72,180,0.03,992.2,64.44,73.98,23.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-50,0.266038163731,161,0.0,29.09,52.47,100,0.0,1005.077,63.58,77.47057777,25.2757004498,0.0,0.0,0.0,284,1642,0.0,0.0,0.0,0
raspberrypi,C8CD922A6F9B,Rbt 0x01,-33,0.00957845417604,161,0.0,26.37,71.65,17,0.0,1004.818,64.62,0.0,0.0,0.0,0.0,0.0,18,520,0.0,0.0,0.0,0
raspberrypi,C8CD922A6F9B,Rbt 0x01,-33,0.00957845417604,223,0.0,26.35,71.75,17,0.0,1004.826,61.36,0.0,0.0,0.0,0.0,0.0,18,520,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-33,0.00957845417604,29,0.0,29.14,52.23,100,0.0,1005.118,61.57,77.50213378,25.2884544148,0.0,0.0,0.0,282,1641,0.0,0.0,0.0,0
raspberrypi,C8CD922A6F9B,Rbt 0x01,-31,0.00580868007585,153,0.0,26.62,70.76,17,0.0,1004.871,61.3,0.0,0.0,0.0,0.0,0.0,15,505,0.0,0.0,0.0,0
raspberrypi,C8CD922A6F9B,Rbt 0x01,-35,0.0153365707231,216,0.0,26.65,70.42,14,0.0,1004.883,63.49,0.0,0.0,0.0,0.0,0.0,18,520,0.0,0.0,0.0,0
raspberrypi,DCD130968233,Rbt 0x03,-33,0.00957845417604,216,0.0,29.33,51.67,98,0.0,1005.124,75.31,77.67175289,25.3871639365,0.0,0.0,0.0,254,1610,0.0,0.0,0.0,0
